Player,avg_PER,avg_OWS,avg_DWS,avg_WS,max_OWS,max_DWS,max_WS,NumOfSeasons
A.C. Green\greenac01,14.09,3.64,2.57,6.21,5.8,3.5,9.4,16	
A.J. Bramlett\bramlaj01,-0.4,-0.2,0.1,-0.2,-0.2,0.1,-0.2,1	
A.J. English\engliaj01,11.55,-0.2,0.7,0.55,0.1,0.7,0.9,2	
A.J. Guyton\guytoaj01,4.37,0.1,-0.03,0.1,0.4,-0.1,0.3,3	
A.J. Hammons\hammoaj01,16.2,0.0,0.1,0.1,0.0,0.1,0.1,1	
A.J. Price\priceaj01,11.72,0.18,0.57,0.78,1.0,1.2,2.2,6	
A.J. Wynder\wyndeaj01,7.6,-0.1,0.0,0.0,-0.1,0.0,0.0,1	
A.W. Holt\holtaw01,-1.8,-0.1,0.0,-0.1,-0.1,0.0,-0.1,1	
Aaron Brooks\brookaa01,12.98,1.17,0.92,2.1,3.9,1.6,5.5,9	
Aaron Gordon\gordoaa01,13.37,1.13,1.2,2.33,3.2,2.2,5.4,3	
Aaron Gray\grayaa01,11.56,0.2,0.7,0.87,0.1,1.3,1.4,7	
Aaron Harrison\harriaa01,-0.55,-0.15,0.05,-0.05,-0.2,0.1,0.0,2	
Aaron James\jamesaa01,13.7,1.56,1.06,2.64,2.7,1.5,4.3,5	
Aaron McKie\mckieaa01,11.73,1.05,2.01,3.08,2.3,3.5,5.9,13	
Aaron Miles\milesaa01,6.0,-0.2,0.1,0.0,-0.2,0.1,0.0,1	
Aaron Swinson\swinsaa01,11.7,0.0,0.0,0.0,0.0,0.0,0.0,1	
Aaron Williams\williaa01,11.09,0.96,1.06,2.06,2.9,2.3,5.2,14	
Abdul Jeelani\jeelaab01,17.1,1.55,1.15,2.7,2.3,1.5,3.8,2	
Acie Earl\earlac01,10.15,-0.42,0.5,0.07,-0.1,0.4,0.3,4	
Acie Law\lawac01,11.05,0.05,0.33,0.4,0.3,0.4,0.7,4	
Adam Harrington\harriad01,7.4,0.0,0.1,0.0,0.0,0.1,0.0,1	
Adam Keefe\keefead01,12.24,1.47,1.3,2.77,4.8,1.7,6.5,9	
Adam Morrison\morriad01,7.0,-1.0,0.53,-0.5,-0.2,0.2,0.0,3	
Adonal Foyle\foylead01,12.78,0.27,1.29,1.56,2.3,1.7,4.0,12	
Adonis Jordan\jordaad01,12.25,-0.05,0.0,-0.05,0.0,0.0,0.0,2	
Adonis Thomas\thomaad01,7.3,0.0,0.0,0.0,0.0,0.0,0.0,1	
Adreian Payne\paynead01,9.9,-0.5,0.23,-0.27,0.1,0.1,0.2,3	
Adrian Branch\brancad01,15.45,0.13,0.4,0.53,0.7,0.8,1.5,4	
Adrian Caldwell\caldwad01,6.73,-0.2,0.4,0.17,-0.3,0.7,0.4,6	
Adrian Dantley*\dantlad01,20.62,7.43,1.51,8.96,13.0,1.6,14.6,15	
Adrian Griffin\griffad01,10.56,0.66,1.14,1.81,1.8,2.1,3.9,9	
Adrian Smith\smithad01,12.35,2.43,0.76,3.18,5.0,1.1,6.1,10	
Al Attles\attleal01,11.05,1.44,1.88,3.33,3.6,2.0,5.6,11	
Al Bianchi\biancal01,9.37,-0.59,1.17,0.6,0.0,2.4,2.4,7	
Al Butler\butleal01,11.38,1.15,0.6,1.75,2.5,1.6,4.1,4	
Al Carlson\carlsal01,9.0,-0.2,0.3,0.1,-0.2,0.3,0.1,1	
Al Eberhard\eberhal01,10.65,0.62,0.7,1.32,1.1,1.5,2.6,4	
Al Ferrari\ferraal01,8.6,0.62,0.73,1.4,2.3,1.0,3.3,4	
Al Fleming\flemial01,10.7,-0.1,0.1,0.0,-0.1,0.1,0.0,1	
Al Hairston\hairsal01,10.65,-0.3,0.05,-0.25,0.0,0.0,0.0,2	
Al Harrington\harrial01,13.13,1.09,1.56,2.66,1.8,4.1,5.9,16	
Al Henry\henryal01,12.0,0.15,0.2,0.35,0.3,0.4,0.7,2	
Al Horford\horfoal01,19.45,3.71,2.88,6.59,6.9,3.9,10.9,10	
Al Jackson\jacksal01,-9.2,-0.1,0.0,-0.1,-0.1,0.0,-0.1,1	
Al Jefferson\jeffeal01,19.81,2.73,2.47,5.21,5.1,2.7,7.8,13	
Al Skinner\skinnal01,9.47,0.38,1.2,1.57,0.7,2.6,3.3,4	
Al Thornton\thornal01,12.2,0.47,1.05,1.55,1.2,1.0,2.2,4	
Al Tucker\tuckeal01,12.93,1.05,0.78,1.82,1.5,0.8,2.3,4	
Al Wood\woodal01,13.68,1.42,1.15,2.55,2.7,1.7,4.4,6	
Al-Farouq Aminu\aminual01,11.71,0.44,1.71,2.19,1.7,2.3,4.0,7	
Alaa Abdelnaby\abdelal01,12.32,0.14,0.82,0.96,0.6,1.5,2.1,5	
Alan Anderson\anderal01,9.16,0.46,0.45,0.89,1.7,1.1,2.7,8	
Alan Hardy\hardyal01,9.0,-0.15,0.15,0.0,0.0,0.2,0.2,2	
Alan Henderson\hendeal01,14.58,1.25,1.08,2.34,4.2,1.8,6.0,12	
Alan Ogg\oggal01,10.97,0.03,0.2,0.27,0.2,0.3,0.5,3	
Alan Williams\willial03,20.85,0.1,0.2,0.25,0.1,0.2,0.3,2	
Alando Tucker\tuckeal02,12.73,0.1,0.0,0.1,0.2,0.0,0.2,3	
Albert King\kingal01,13.0,0.2,1.61,1.82,1.7,3.9,5.7,9	
Alec Burks\burksal01,13.72,1.16,0.62,1.78,2.6,0.6,3.2,5	
Alec Kessler\kesslal01,10.48,-0.15,0.62,0.5,0.3,0.9,1.2,4	
Aleksandar Djordjevic\djordal01,12.5,0.1,0.0,0.1,0.1,0.0,0.1,1	
Aleksandar Radojevic\radojal01,0.45,-0.3,0.1,-0.2,-0.2,0.1,-0.1,2	
Alex Abrines\abrinal01,5.1,-0.2,0.2,0.0,-0.2,0.2,0.0,1	
Alex Acker\ackeral01,4.0,-0.15,0.05,-0.1,-0.1,0.1,0.0,2	
Alex Blackwell\blackal01,8.2,-0.1,0.1,0.0,-0.1,0.1,0.0,1	
Alex Bradley\bradlal02,12.4,0.1,0.3,0.4,0.1,0.3,0.4,1	
Alex English*\englial01,19.25,5.17,1.53,6.71,8.7,1.6,10.3,15	
Alex Garcia\garcial01,1.85,-0.1,0.05,-0.1,-0.1,0.0,-0.1,2	
Alex Kirk\kirkal01,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1	
Alex Len\lenal01,12.1,0.27,1.25,1.55,1.2,2.1,3.4,4	
Alex Stepheson\stephal01,14.8,0.0,0.1,0.1,0.0,0.1,0.1,1	
Alex Stivrins\stivral01,3.8,-0.1,0.05,-0.05,-0.1,0.1,0.0,2	
Alexander Johnson\johnsal01,11.05,0.3,0.5,0.75,0.7,0.6,1.3,2	
Alexander Volkov\volkoal01,13.7,1.3,0.9,2.2,1.6,1.4,3.0,2	
Alexey Shved\shvedal01,13.57,0.23,0.87,1.07,1.7,0.5,2.2,3	
Alexis Ajinca\ajincal01,11.99,0.4,0.56,0.96,1.9,1.2,3.2,7	
Alfredrick Hughes\hugheri01,8.2,-1.0,0.5,-0.5,-1.0,0.5,-0.5,1	
Allan Bristow\bristal01,14.24,1.54,0.99,2.53,3.2,1.2,4.4,9	
Allan Houston\houstal01,14.45,2.88,1.73,4.6,5.5,3.1,8.6,12	
Allan Ray\rayal01,10.0,0.1,0.5,0.6,0.1,0.5,0.6,1	
Allen Crabbe\crabbal01,9.75,1.1,0.53,1.62,3.1,1.2,4.3,4	
Allen Iverson*\iversal01,20.41,4.34,2.73,7.06,7.3,4.5,11.8,14	
Allen Leavell\leaveal01,13.81,1.6,1.38,2.98,2.6,2.5,5.1,10	
Allen Murphy\murphal01,1.8,-0.1,0.0,-0.1,-0.1,0.0,-0.1,1	
Allie McGuire\mcguial02,10.3,0.0,0.0,0.0,0.0,0.0,0.0,1	
Alonzo Bradley\bradlal01,7.47,-0.1,0.03,-0.07,0.0,0.1,0.1,3	
Alonzo Gee\geeal01,10.81,0.5,0.75,1.23,1.2,1.2,2.4,8	
Alonzo Mourning*\mournal01,20.28,2.77,3.21,5.98,7.3,5.6,12.9,15	
Alphonso Ford\fordal01,14.65,-0.25,0.0,-0.15,0.0,0.0,0.1,2	
Alton Ford\fordal02,6.73,0.07,0.2,0.27,0.3,0.5,0.8,3	
Alton Lister\listeal01,11.0,0.34,1.94,2.29,1.6,3.8,5.5,16	
Alvan Adams\adamsal01,18.02,2.3,3.35,5.65,3.3,4.5,7.7,13	
Alvin Heggs\heggsal01,20.7,0.1,0.0,0.1,0.1,0.0,0.1,1	
Alvin Jones\jonesal01,6.2,-0.2,0.3,0.1,-0.2,0.3,0.1,1	
