Player,avg_PER,avg_OWS,avg_DWS,avg_WS,max_OWS,max_DWS,max_WS,NumOfSeasons
Alvin Robertson\roberal01,16.78,2.12,3.11,5.22,4.0,4.6,8.6,10	
Alvin Scott\scottal01,10.99,0.95,1.91,2.89,2.0,2.4,4.4,8	
Alvin Sims\simsal01,10.9,-0.1,0.0,-0.1,-0.1,0.0,-0.1,1	
Alvin Williams\willial02,10.37,1.27,1.13,2.39,4.4,1.2,5.5,9	
Amal McCaskill\mccasam01,7.72,-0.2,0.33,0.1,-0.1,0.7,0.6,4	
Amar'e Stoudemire\stoudam01,20.92,4.51,2.1,6.61,11.3,3.3,14.6,14	
Amir Johnson\johnsam01,16.64,2.3,1.57,3.88,4.4,2.9,7.3,12	
Anderson Varejao\varejan01,15.62,1.72,1.87,3.57,4.3,3.8,8.1,13	
Andrae Patterson\pattean01,13.1,0.1,0.25,0.4,0.2,0.5,0.7,2	
Andray Blatche\blatcan01,15.39,0.57,1.54,2.14,2.4,2.5,4.9,9	
Andre Barrett\barrean01,10.15,-0.05,0.12,0.08,-0.1,0.5,0.4,4	
Andre Brown\brownan01,7.7,-0.07,0.13,0.1,0.2,0.2,0.4,3	
Andre Dawkins\dawkian01,-5.0,-0.1,0.0,-0.1,-0.1,0.0,-0.1,1	
Andre Drummond\drumman01,22.04,2.96,3.52,6.48,6.4,3.5,9.9,5	
Andre Emmett\emmetan01,7.1,0.05,0.0,0.05,0.1,0.0,0.1,2	
Andre Iguodala\iguodan01,15.49,3.35,3.11,6.44,5.3,4.4,9.6,13	
Andre McCarter\mccaran01,4.4,0.13,0.27,0.37,0.5,0.4,0.8,3	
Andre Miller\millean02,16.87,4.09,1.83,5.94,8.7,1.5,10.3,17	
Andre Moore\moorean01,12.1,-0.1,0.1,0.0,-0.1,0.1,0.0,1	
Andre Owens\owensan01,7.6,-0.1,0.2,0.1,0.1,0.3,0.4,2	
Andre Roberson\roberan03,9.43,0.7,1.23,1.93,1.8,1.6,3.4,4	
Andre Spencer\spencan01,14.2,0.35,0.3,0.7,0.4,0.3,0.8,2	
Andre Turner\turnean01,6.33,-0.1,0.38,0.3,0.7,1.2,1.9,6	
Andre Wakefield\wakefan01,1.45,-0.7,0.15,-0.55,-0.2,0.0,-0.2,2	
Andrea Bargnani\bargnan01,14.19,0.97,0.89,1.88,3.3,0.9,4.2,10	
Andreas Glyniadakis\glynian01,-3.3,-0.2,0.0,-0.2,-0.2,0.0,-0.2,1	
Andrei Kirilenko\kirilan01,17.19,3.13,2.66,5.8,6.5,5.0,11.6,13	
Andres Guibert\guibean01,7.2,-0.2,0.1,-0.15,-0.2,0.2,-0.1,2	
Andres Nocioni\nocioan01,11.32,0.88,1.84,2.73,3.3,3.4,6.7,8	
Andrew Bogut\bogutan01,15.84,1.61,2.54,4.13,2.6,4.8,7.5,12	
Andrew Bynum\bynuman01,18.1,2.61,2.06,4.67,4.8,3.3,8.0,8	
Andrew DeClercq\declean01,11.46,0.83,1.08,1.93,1.4,2.1,3.4,10	
Andrew Gaze\gazean01,9.5,0.0,0.05,0.05,0.1,0.0,0.1,2	
Andrew Goudelock\goudean01,4.8,-0.03,0.07,0.03,0.0,0.1,0.1,3	
Andrew Harrison\harrian01,8.1,-0.5,1.1,0.6,-0.5,1.1,0.6,1	
Andrew Lang\langan01,11.17,0.62,1.74,2.38,2.2,3.5,5.7,12	
Andrew Nicholson\nichoan01,11.36,0.18,0.6,0.78,0.9,0.8,1.7,5	
Andrew Toney\toneyan01,13.86,1.99,1.38,3.36,4.6,2.7,7.3,8	
Andrew Wiggins\wiggian01,15.4,2.2,0.23,2.43,3.4,0.7,4.1,3	
Andris Biedrins\biedran01,12.69,1.69,1.4,3.08,5.4,2.6,8.0,10	
Andy Johnson\johnsan01,11.0,0.43,1.77,2.23,3.4,1.2,4.6,3	
Andy Panko\pankoan01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1	
Andy Rautins\rautian01,-1.2,-0.2,0.0,-0.2,-0.2,0.0,-0.2,1	
Andy Toolson\toolsan01,6.4,0.05,0.25,0.3,0.1,0.5,0.6,2	
Andy Walker\walkean01,13.0,0.2,0.5,0.7,0.2,0.5,0.7,1	
Anfernee Hardaway\hardaan01,15.0,2.55,1.87,4.43,11.0,3.4,14.4,14	
Ansu Sesay\sesayan01,12.35,0.18,0.2,0.35,0.6,0.2,0.8,4	
Antawn Jamison\jamisan01,17.3,4.07,1.44,5.49,6.0,3.2,9.2,16	
Anthony Avent\aventan01,7.15,-0.95,1.03,0.07,0.1,1.5,1.5,6	
Anthony Bennett\bennean01,10.97,-0.25,0.33,0.07,0.2,0.1,0.3,4	
Anthony Bonner\bonnean01,11.45,0.13,1.63,1.77,0.9,3.2,4.1,6	
Anthony Bowie\bowiean01,11.48,0.62,0.9,1.52,1.8,1.1,2.9,8	
Anthony Brown\brownan02,5.5,-0.3,0.1,-0.15,-0.2,0.1,0.0,2	
Anthony Carter\cartean01,9.11,-0.35,1.16,0.81,1.6,2.2,3.8,13	
Anthony Cook\cookan01,11.35,0.03,0.25,0.28,0.0,0.5,0.5,4	
Anthony Davis\davisan02,26.66,5.52,2.88,8.36,9.9,4.2,14.0,5	
Anthony Frederick\fredean01,12.03,-0.2,0.43,0.23,-0.1,0.6,0.5,3	
Anthony Goldwire\goldwan01,9.06,0.75,0.06,0.81,3.3,-0.4,3.0,8	
Anthony Grundy\grundan01,16.6,0.1,0.1,0.2,0.1,0.1,0.2,1	
Anthony Johnson\johnsan02,11.03,0.62,1.18,1.78,2.2,2.3,4.5,13	
Anthony Jones\jonesan01,10.57,-0.3,0.57,0.27,-0.2,0.7,0.5,3	
Anthony Mason\masonan01,13.82,3.74,3.05,6.81,6.0,5.6,11.6,13	
Anthony Miller\millean01,9.84,0.2,0.25,0.46,0.6,0.6,1.2,8	
Anthony Morrow\morroan01,12.93,2.1,0.39,2.49,4.4,1.2,5.7,9	
Anthony Parker\parkean01,14.1,1.54,1.18,2.72,4.4,2.1,6.5,9	
Anthony Peeler\peelean01,12.82,1.36,0.98,2.38,2.4,1.6,4.1,13	
Anthony Pullard\pullaan01,9.2,-0.1,0.0,-0.1,-0.1,0.0,-0.1,1	
Anthony Randolph\randoan01,16.2,0.2,0.75,0.97,0.4,1.2,1.6,6	
Anthony Roberson\roberan02,11.5,0.07,0.13,0.17,0.1,0.1,0.2,3	
Anthony Roberts\roberan01,9.12,0.08,0.58,0.66,0.8,1.1,1.9,5	
Anthony Taylor\tayloan01,11.1,-0.1,0.3,0.2,-0.1,0.3,0.2,1	
Anthony Tolliver\tollian01,10.13,1.1,0.77,1.87,2.6,0.7,3.3,9	
Anthony Tucker\tuckean01,9.2,-0.2,0.9,0.6,-0.2,0.9,0.6,1	
Antoine Carr\carran01,13.19,1.36,1.27,2.63,3.2,2.3,5.5,16	
Antoine Rigaudeau\rigauan01,-2.4,-0.4,0.1,-0.4,-0.4,0.1,-0.4,1	
Antoine Walker\walkean02,15.45,0.47,2.69,3.18,1.5,5.2,6.7,12	
Antoine Wright\wrighan01,4.93,-0.08,0.6,0.52,0.3,1.2,1.4,6	
Antonio Anderson\anderan02,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,1	
Antonio Burks\burksan01,8.95,-0.45,0.5,0.05,0.2,0.3,0.5,2	
Antonio Daniels\daniean01,14.02,2.78,0.85,3.62,6.3,0.5,6.8,13	
Antonio Davis\davisan01,13.76,2.17,2.43,4.58,3.8,3.6,7.4,13	
Antonio Harvey\harvean01,11.03,-0.23,0.28,0.05,-0.2,0.6,0.4,8	
Antonio Lang\langan02,8.2,-0.08,0.35,0.27,-0.6,1.4,0.8,6	
Antonio McDyess\mcdyean01,16.99,2.11,2.56,4.65,4.8,4.6,9.4,15	
Antonis Fotsis\fotsian01,11.3,-0.1,0.2,0.1,-0.1,0.2,0.1,1	
Archie Clark\clarkar01,15.96,4.41,2.04,6.48,8.3,3.1,11.4,10	
Archie Dees\deesar01,15.05,1.5,0.55,2.05,2.7,1.0,3.7,2	
Archie Goodwin\goodwar01,13.18,-0.17,0.35,0.17,-0.3,0.5,0.2,4	
Arinze Onuaku\onuakar01,11.5,0.07,0.0,0.1,0.2,0.0,0.3,3	
Armen Gilliam\gilliar01,16.18,2.38,2.09,4.47,5.3,2.3,7.6,13	
Armon Johnson\johnsar02,11.1,-0.15,0.1,-0.1,0.1,0.0,0.1,2	
Armond Hill\hillar01,9.56,0.17,1.21,1.4,2.4,1.8,4.2,8	
Arnett Moultrie\moultar01,11.7,0.5,0.35,0.85,1.1,0.6,1.7,2	
Aron Baynes\baynear01,12.32,0.92,0.96,1.88,2.4,1.7,4.1,5	
Arron Afflalo\afflaar01,11.8,2.33,0.94,3.28,4.8,1.4,6.2,10	
Art Collins\colliar01,4.3,-0.6,0.2,-0.4,-0.6,0.2,-0.4,1	
Art Harris\harriar01,8.65,-1.18,0.75,-0.45,-0.6,1.1,0.4,4	
Art Heyman\heymaar01,12.3,1.13,0.23,1.33,2.6,0.2,2.7,3	
Art Long\longar01,4.43,-0.1,0.43,0.33,0.4,0.9,1.4,3	
Art Williams\williar01,13.67,0.03,2.49,2.51,1.6,2.8,4.4,7	
Artis Gilmore*\gilmoar01,19.28,5.91,3.05,8.96,8.6,4.1,12.7,12	
Arvid Kramer\kramear01,6.6,-0.1,0.0,-0.1,-0.1,0.0,-0.1,1	
Arvydas Macijauskas\macijar01,8.3,-0.1,0.1,0.0,-0.1,0.1,0.0,1	
Arvydas Sabonis*\sabonar01,21.0,3.43,3.34,6.73,5.1,4.6,9.7,7	
Ashraf Amaya\amayaas01,10.3,0.25,0.7,0.95,0.7,1.1,1.8,2	
Askia Jones\jonesas01,8.3,-0.1,0.0,-0.1,-0.1,0.0,-0.1,1	
Audie Norris\norriau01,8.1,0.0,1.0,0.97,0.6,1.4,1.9,3	
Austin Carr\carrau01,14.46,2.18,1.11,3.31,2.9,2.9,5.9,10	
Austin Croshere\croshau01,13.57,1.07,1.22,2.3,2.8,2.6,5.4,12	
Austin Daye\dayeau01,10.83,0.1,0.63,0.75,1.2,0.9,2.1,6	
Austin Rivers\riverau01,9.88,0.08,0.66,0.76,0.6,1.3,1.9,5	
Avery Bradley\bradlav01,10.83,0.31,1.57,1.89,2.0,2.8,4.8,7	
Avery Johnson\johnsav01,13.71,2.09,1.45,3.54,5.6,3.5,9.1,16	
Awvee Storey\storeaw01,9.2,0.03,0.03,0.1,0.1,0.0,0.2,3	
Axel Toupane\toupaax01,7.1,0.2,0.1,0.3,0.2,0.1,0.3,1	
B.J. Armstrong\armstbj01,13.95,2.89,1.22,4.1,5.4,2.8,8.1,11	
B.J. Tyler\tylerbj01,8.5,-1.2,0.5,-0.7,-1.2,0.5,-0.7,1	
Bailey Howell*\howelba01,18.91,6.98,2.57,9.56,11.1,2.9,14.0,12	
Barney Cable\cableba01,10.32,0.32,0.98,1.26,1.7,1.6,3.3,5	
Baron Davis\davisba01,17.24,2.51,2.34,4.86,4.2,4.7,8.9,13	
Barry Clemens\clemeba01,12.48,0.71,0.98,1.7,2.6,0.8,3.5,11	
Barry Kramer\krameba01,10.0,-0.3,0.5,0.2,-0.3,0.5,0.2,1	
Barry Nelson\nelsoba01,7.6,-0.1,0.1,0.1,-0.1,0.1,0.1,1	
Barry Orms\ormsba01,3.2,-1.8,1.1,-0.7,-1.8,1.1,-0.7,1	
Barry Stevens\steveba01,15.2,0.0,0.0,0.0,0.0,0.0,0.0,1	
Barry Sumpter\sumptba01,-30.2,0.0,0.0,0.0,0.0,0.0,0.0,1	
Barry Yates\yatesba01,10.7,-0.4,0.1,-0.2,-0.4,0.1,-0.2,1	
Bart Kofoed\kofoeba01,6.2,-0.12,0.1,0.0,0.1,0.1,0.2,5	
Bayard Forrest\forreba01,10.9,-0.05,1.4,1.3,0.1,1.3,1.4,2	
Ben Clyde\clydebe01,11.3,0.0,0.2,0.2,0.0,0.2,0.2,1	
Ben Coleman\colembe01,12.12,0.32,0.7,1.02,0.9,1.1,2.0,5	
Ben Davis\davisbe01,15.0,-0.03,0.05,0.05,0.1,0.0,0.1,4	
Ben Gillery\gillebe01,5.0,-0.1,0.1,0.0,-0.1,0.1,0.0,1	
Ben Gordon\gordobe01,13.69,1.75,1.27,3.04,4.7,3.9,8.6,11	
Ben Handlogten\handlbe01,13.7,0.25,0.2,0.45,0.4,0.2,0.6,2	
Ben Hansbrough\hansbbe01,7.2,-0.1,0.3,0.2,-0.1,0.3,0.2,1	
Ben Kelso\kelsobe01,6.8,-0.3,0.3,0.0,-0.3,0.3,0.0,1	
Ben McDonald\mcdonbe01,8.72,0.35,0.28,0.62,1.0,0.3,1.3,4	
Ben McLemore\mclembe01,8.83,0.27,0.63,0.9,1.7,0.8,2.5,4	
Ben Poquette\poquebe01,12.06,1.5,1.52,3.03,2.9,2.5,5.4,10	
Ben Uzoh\uzohbe01,12.8,0.0,0.3,0.35,0.2,0.2,0.5,2	
Ben Wallace\wallabe01,14.4,1.43,4.41,5.84,4.3,7.2,11.6,16	
Ben Warley\warlebe01,12.56,0.82,0.78,1.62,2.4,1.4,3.8,5	
Beno Udrih\udrihbe01,13.64,1.47,0.93,2.39,5.6,1.6,7.2,13	
Benoit Benjamin\benjabe01,12.48,0.21,1.97,2.17,1.7,3.7,5.4,15	
Bernard James\jamesbe01,13.07,0.3,0.37,0.6,0.5,0.7,1.2,3	
Bernard King*\kingbe01,18.46,3.52,1.84,5.37,8.6,3.5,12.1,14	
Bernard Robinson\robinbe01,9.8,-0.07,0.73,0.7,0.1,1.6,1.7,3	
Bernard Thompson\thompbe01,9.0,0.26,0.44,0.66,1.2,1.0,2.1,5	
Bernard Toone\toonebe01,8.9,-0.3,0.2,-0.1,-0.3,0.2,-0.1,1	
Bernie Fryer\fryerbe01,12.1,0.65,0.3,1.0,1.2,0.3,1.6,2	
Bernie Harris\harribe01,3.6,-0.1,0.0,-0.1,-0.1,0.0,-0.1,1	
Bernie Williams\willibe01,10.8,-1.4,1.3,-0.1,-1.4,1.5,0.1,2	
Bevo Nordmann\nordmbe01,10.15,0.17,0.35,0.47,0.9,0.9,1.7,4	
Bill Bradley*\bradlbi01,12.04,1.54,2.33,3.88,2.9,4.1,7.0,10	
Bill Bridges\bridgbi01,14.03,1.91,2.72,4.6,4.5,4.2,8.6,13	
Bill Buntin\buntibi01,13.3,0.0,0.9,0.9,0.0,0.9,0.9,1	
Bill Cartwright\cartwbi01,13.5,2.89,1.97,4.85,5.7,4.4,10.1,15	
Bill Chamberlain\chambbi01,14.2,0.2,0.3,0.5,0.2,0.3,0.5,1	
Bill Curley\curlebi01,8.24,0.08,0.24,0.32,0.3,0.4,0.7,5	
Bill Dinwiddie\dinwibi01,7.4,-0.95,0.42,-0.55,-0.9,1.1,0.2,4	
Bill Edwards\edwarbi01,-0.4,-0.3,0.1,-0.3,-0.3,0.1,-0.3,1	
Bill Garnett\garnebi02,12.12,1.32,1.38,2.73,2.6,1.3,3.9,4	
Bill Hanzlik\hanzlbi01,10.86,0.99,1.49,2.47,2.4,2.3,4.7,10	
Bill Hewitt\hewitbi01,10.05,0.02,0.85,0.87,0.8,1.6,2.4,6	
Bill Hosket\hoskebi01,14.4,0.45,0.33,0.78,0.5,0.5,1.0,4	
Bill Jones\jonesbi01,13.9,0.3,0.3,0.6,0.3,0.3,0.6,1	
Bill Laimbeer\laimbbi01,15.9,4.03,3.51,7.54,7.3,3.5,10.8,14	
Bill Ligon\ligonbi01,11.8,-0.4,0.1,-0.2,-0.4,0.1,-0.2,1	
Bill Martin\martibi01,7.8,-0.17,0.3,0.1,0.0,0.7,0.6,3	
Bill Mayfield\mayfibi01,6.8,0.0,0.0,0.0,0.0,0.0,0.0,1	
Bill McGill\mcgilbi01,16.17,2.07,0.17,2.23,4.5,0.2,4.6,3	
Bill Melchionni\melchbi01,11.35,-0.35,0.9,0.5,0.0,1.1,1.1,2	
Bill Robinzine\robinbi01,14.51,1.19,2.11,3.33,3.4,3.4,6.9,7	
Bill Russell*\russebi01,18.27,1.99,11.31,13.3,1.3,16.0,17.3,10	
Bill Sharman*\sharmbi01,17.75,4.05,2.6,6.65,5.4,2.5,7.9,2	
Bill Smith\smithbi01,5.7,-0.2,0.1,-0.2,-0.2,0.1,-0.2,1	
Bill Stricker\stricbi01,45.1,0.0,0.0,0.0,0.0,0.0,0.0,1	
Bill Turner\turnebi01,9.23,0.07,0.77,0.8,1.2,1.9,3.1,6	
Bill Walton*\waltobi01,18.57,1.46,2.46,3.93,5.4,4.8,10.2,10	
Bill Wennington\wennibi01,10.62,0.42,0.96,1.35,1.3,2.3,3.5,13	
Bill Willoughby\willobi01,11.84,0.71,0.92,1.66,1.7,1.3,3.0,8	
Bill Zopf\zopfbi01,9.6,-0.5,0.4,-0.1,-0.5,0.4,-0.1,1	
Billy Cunningham*\cunnibi01,18.97,3.64,3.4,7.01,5.6,4.8,10.3,9	
Billy Donovan\donovbi01,8.7,-0.4,0.3,-0.1,-0.4,0.3,-0.1,1	
Billy Kenville\kenvibi01,11.9,0.0,0.3,0.4,0.0,0.3,0.4,1	
Billy Knight\knighbi01,17.04,4.06,1.32,5.39,8.8,1.9,10.7,9	
Billy McKinney\mckinbi01,13.07,1.7,0.51,2.24,2.6,0.8,3.4,7	
Billy Owens\owensbi01,13.83,1.1,1.76,2.86,3.0,2.6,5.7,10	
Billy Paultz\paultbi01,11.86,1.34,1.57,2.93,5.6,3.0,8.6,9	
Billy Ray Bates\batesbi01,17.4,1.12,0.62,1.73,2.4,1.2,3.6,4	
Billy Reid\reidbi01,6.2,-1.0,0.3,-0.6,-1.0,0.3,-0.6,1	
Billy Thomas\thomabi01,5.37,-0.07,0.2,0.17,0.0,0.4,0.4,3	
Billy Thompson\thompbi01,8.57,0.47,1.13,1.6,1.4,2.2,3.6,6	
Bimbo Coles\colesbi01,10.82,1.06,0.89,1.96,4.3,1.4,5.7,14	
Bingo Smith\smithbi02,14.05,1.51,1.53,3.03,3.8,2.3,6.1,11	
Bird Averitt\averibi01,10.75,-1.3,0.4,-0.9,-1.2,0.5,-0.7,2	
Bismack Biyombo\biyombi01,12.52,0.88,1.78,2.67,2.8,3.1,5.9,6	
Bison Dele\delebi01,15.63,1.12,1.7,2.83,3.2,3.7,6.9,8	
Blair Rasmussen\rasmubl01,11.99,0.99,1.39,2.39,2.3,2.9,5.2,8	
Blake Ahearn\ahearbl01,4.87,-0.1,0.03,-0.03,0.0,0.0,0.1,3	
Blake Griffin\griffbl01,22.79,5.51,2.74,8.24,8.1,4.1,12.2,7	
Blue Edwards\edwarbl01,12.43,0.93,1.49,2.42,3.7,2.0,5.7,10	
Bo Ellis\ellisbo02,11.13,0.1,0.73,0.83,-0.3,1.4,1.1,3	
Bo Kimble\kimblbo01,8.8,-0.37,0.4,0.03,-0.2,0.3,0.1,3	
Bo Lamar\lamarbo01,12.8,-0.4,0.9,0.5,-0.4,0.9,0.5,1	
Bo Outlaw\outlabo01,13.03,1.44,1.96,3.39,3.9,4.0,7.9,15	
Bob Allen\allenbo01,6.8,-0.1,0.3,0.1,-0.1,0.3,0.1,1	
